eje_x,eje_y,eje_z,timestamp
1214563.0,996767.0,0.0,1681201256949
1213251.0,994145.0,0.0,1681201256998
1211601.0,991525.0,0.0,1681201257046
1210605.0,990703.0,0.0,1681201257094
1210909.0,989825.0,0.0,1681201257142
1212019.0,991105.0,0.0,1681201257191
1210839.0,990309.0,0.0,1681201257239
1209679.0,989561.0,0.0,1681201257287
1212783.0,989625.0,0.0,1681201257335
1213933.0,992821.0,0.0,1681201257383
1211591.0,992875.0,0.0,1681201257432
1208153.0,992639.0,0.0,1681201257480
1205853.0,991789.0,0.0,1681201257528
1205445.0,991131.0,0.0,1681201257576
1205567.0,990575.0,0.0,1681201257625
1204397.0,989715.0,0.0,1681201257673
1204713.0,988199.0,0.0,1681201257721
1204001.0,986885.0,0.0,1681201257769
1204559.0,986145.0,0.0,1681201257817
1206463.0,986729.0,0.0,1681201257866
1207287.0,988219.0,0.0,1681201257914
1207613.0,989305.0,0.0,1681201257962
1208355.0,990181.0,0.0,1681201258010
1209099.0,990355.0,0.0,1681201258059
1210329.0,991561.0,0.0,1681201258107
1210217.0,992483.0,0.0,1681201258155
1210767.0,993223.0,0.0,1681201258204
1211317.0,993817.0,0.0,1681201258252
1211979.0,994621.0,0.0,1681201258300
1212121.0,995159.0,0.0,1681201258348
1210829.0,993707.0,0.0,1681201258396
1208895.0,991735.0,0.0,1681201258445
1207205.0,989149.0,0.0,1681201258493
1206453.0,987077.0,0.0,1681201258541
1205567.0,987223.0,0.0,1681201258589
1205893.0,987505.0,0.0,1681201258637
1205741.0,987907.0,0.0,1681201258686
1205435.0,988493.0,0.0,1681201258734
1206157.0,988721.0,0.0,1681201258783
1206931.0,989387.0,0.0,1681201258831
1206299.0,989753.0,0.0,1681201258879
1206839.0,990747.0,0.0,1681201258927
1206779.0,991131.0,0.0,1681201258975
1207521.0,991323.0,0.0,1681201259023
1209241.0,992201.0,0.0,1681201259072
1207695.0,991899.0,0.0,1681201259120
1204591.0,988647.0,0.0,1681201259168
1202657.0,986337.0,0.0,1681201259217
1201069.0,984647.0,0.0,1681201259265
1201019.0,984903.0,0.0,1681201259313
